opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data;
3pok.najbardziej po¿¹dany uk³ad- £¹ki Nowohuckie!;: Czy¿yny;3 pokoje;352950;54,30;6 500;https://www.otodom.pl/oferta/3pok-najbardziej-pozadany-uklad-laki-nowohuckie-ID3WZNm.html#89e33f6554;2019-03-07 15:26:00.408144;
5pok.du¿y salon+dwa balkony-ostatnie w tym metra¿u;: Czy¿yny;5 pokoi;515680;88,00;5 860;https://www.otodom.pl/oferta/5pok-duzy-salon-dwa-balkony-ostatnie-w-tym-metrazu-ID3WZNe.html#89e33f6554;2019-03-07 15:26:00.408144;
Ostatnie Piêtro-4pok.przy £¹kach Nowohuckich!;: Czy¿yny;4 pokoje;484608;81,31;5 960;https://www.otodom.pl/oferta/ostatnie-pietro-4pok-przy-lakach-nowohuckich-ID3WZN2.html#89e33f6554;2019-03-07 15:26:00.409147;
Nowe 2 pokojowe 40m2 ul.G³owackiego;: Bronowice Ma³e;2 pokoje;370000;40,30;9 181;https://www.otodom.pl/oferta/nowe-2-pokojowe-40m2-ul-glowackiego-ID3WZI8.html#89e33f6554;2019-03-07 15:26:00.409147;
Okazja!;: Krowodrza;1 pokój;140400;19,23;7 301;https://www.otodom.pl/oferta/okazja-ID3WZC8.html#89e33f6554;2019-03-07 15:26:00.409147;
Okazja Inwestycyjna!;: Krowodrza;1 pokój;181000;27,60;6 558;https://www.otodom.pl/oferta/okazja-inwestycyjna-ID3WZC0.html#89e33f6554;2019-03-07 15:26:00.409147;
Mieszkanie, 38,80 , Kraków;: Krowodrza;2 pokoje;342000;38,80;8 814;https://www.otodom.pl/oferta/mieszkanie-38-80-m-krakow-ID3WZC4.html#89e33f6554;2019-03-07 15:26:00.409147;
Mieszkanie Inwestycyjne - Grzegórzki, bez prowizji;: ma³opolskie;2 pokoje;399999;47,00;8 511;https://www.otodom.pl/oferta/mieszkanie-inwestycyjne-grzegorzki-bez-prowizji-ID3WZBG.html#89e33f6554;2019-03-07 15:26:00.409147;
Penthouse Angel City 6 piêtro na Starym Mieœcie;: Stare Miasto;2 pokoje;871900;59,00;14 778;https://www.otodom.pl/oferta/penthouse-angel-city-6-pietro-na-starym-miescie-ID3WZBu.html#89e33f6554;2019-03-07 15:26:00.409147;
Przestronny apartament w Angel City w centrum!;: Stare Miasto;2 pokoje;839000;64,00;13 109;https://www.otodom.pl/oferta/przestronny-apartament-w-angel-city-w-centrum-ID3WZBq.html#89e33f6554;2019-03-07 15:26:00.409147;
Mieszkanie 3 pokojowe W Super Miejscu;: Podgórze;3 pokoje;575000;65,41;8 791;https://www.otodom.pl/oferta/mieszkanie-3-pokojowe-w-super-miejscu-ID3WZA0.html#89e33f6554;2019-03-07 15:26:00.410149;
Olsza II - kawalerka z miejscem postojowym;: Olsza;1 pokój;203899;22,91;8 900;https://www.otodom.pl/oferta/olsza-ii-kawalerka-z-miejscem-postojowym-ID3WZqU.html#89e33f6554;2019-03-07 15:26:00.410149;
Mieszkanie 30 m2 1pokój Winda Nowa huta;: Nowa Huta;1 pokój;229000;30,00;7 633;https://www.otodom.pl/oferta/mieszkanie-30-m2-1pokoj-winda-nowa-huta-ID3WZoY.html#89e33f6554;2019-03-07 15:26:00.410149;
3 pokoje wysoki standard Ugorek;: Ugorek;3 pokoje;429700;48,70;8 823;https://www.otodom.pl/oferta/3-pokoje-wysoki-standard-ugorek-ID3WZoQ.html#89e33f6554;2019-03-07 15:26:00.410149;
Mieszkanie, 56 , Kraków;: Kliny-Zacisze;3 pokoje;398000;56,00;7 107;https://www.otodom.pl/oferta/mieszkanie-56-m-krakow-ID3WZo0.html#89e33f6554;2019-03-07 15:26:00.410149;
2 oddzielne pokoje ok 49m2 Dêbniki-kliny;: Kliny-Zacisze;2 pokoje;324000;49,00;6 612;https://www.otodom.pl/oferta/2-oddzielne-pokoje-ok-49m2-debniki-kliny-ID3WZfK.html#89e33f6554;2019-03-07 15:26:00.410149;
Sprzedam 2 apartamenty na Topolowej pod inwestycje;: Stare Miasto;3 pokoje;790000;78,50;10 064;https://www.otodom.pl/oferta/sprzedam-2-apartamenty-na-topolowej-pod-inwestycje-ID3WZfy.html#89e33f6554;2019-03-07 15:26:00.410149;
Zamieszkaj na D¹biu !;: D¹bie;2 pokoje;386100;39,00;9 900;https://www.otodom.pl/oferta/zamieszkaj-na-dabiu-ID3WZ7u.html#89e33f6554;2019-03-07 15:26:00.410149;
2-pokojowe z Ogródkiem, 43m2, Wola Justowska;: Bronowice;2 pokoje;416000;43,00;9 674;https://www.otodom.pl/oferta/2-pokojowe-z-ogrodkiem-43m2-wola-justowska-ID3WZ5V.html#89e33f6554;2019-03-07 15:26:00.410149;
Pl. Bohaterów Getta, 2 pokoje !!!;: Stare Podgórze;2 pokoje;475000;43,30;10 970;https://www.otodom.pl/oferta/pl-bohaterow-getta-2-pokoje-ID3WZ4s.html#89e33f6554;2019-03-07 15:26:00.410149;
Kraków, Œródmieœcie, Olsza – ulica Idzikowskiego;: Œródmieœcie;2 pokoje;290000;25,09;11 558;https://www.otodom.pl/oferta/krakow-srodmiescie-olsza-ulica-idzikowskiego-ID3WZ3G.html#89e33f6554;2019-03-07 15:26:00.411152;
w s¹siedztwie Rynku G³ównego / 2 miejsca postojowe;: Stare Miasto;4 pokoje;777000;87,20;8 911;https://www.otodom.pl/oferta/w-sasiedztwie-rynku-glownego-2-miejsca-postojowe-ID3WKZS.html#3f7ebb237a;2019-03-07 15:26:01.294507;
Apartament u stóp Wawelu;: Stare Miasto;2 pokoje;745000;52,50;14 190;https://www.otodom.pl/oferta/apartament-u-stop-wawelu-ID3Wbnu.html#3f7ebb237a;2019-03-07 15:26:01.294507;
Bezpoœrednio - 2 pokoje Nowa Huta 37m2;: Nowa Huta;2 pokoje;234000;37,00;6 324;https://www.otodom.pl/oferta/bezposrednio-2-pokoje-nowa-huta-37m2-ID3WYov.html#3f7ebb237a;2019-03-07 15:26:01.294507;
Bezpoœrednio - Kawalerka os.Strusia 25m2;: Nowa Huta;1 pokój;228000;25,00;9 120;https://www.otodom.pl/oferta/bezposrednio-kawalerka-os-strusia-25m2-ID3WYIY.html#3f7ebb237a;2019-03-07 15:26:01.294507;
Olsza II - kawalerka z miejscem postojowym;: Olsza;1 pokój;203899;22,91;8 900;https://www.otodom.pl/oferta/olsza-ii-kawalerka-z-miejscem-postojowym-ID3WZqU.html#3f7ebb237a;2019-03-07 15:26:01.294507;
Kawalerka Kraków Podgórze;: Podgórze;1 pokój;180000;17,60;10 227;https://www.otodom.pl/oferta/kawalerka-krakow-podgorze-ID3WXBV.html#3f7ebb237a;2019-03-07 15:26:01.294507;
Kawalerka po remoncie (dzielnica Swoszowice);: Swoszowice;1 pokój;167000;20,30;8 227;https://www.otodom.pl/oferta/kawalerka-po-remoncie-dzielnica-swoszowice-ID3WWcU.html#3f7ebb237a;2019-03-07 15:26:01.294507;
3 pokoje 59m2 nowe budownictwo-Œródmieœcie;: Œródmieœcie;3 pokoje;499000;59,70;8 358;https://www.otodom.pl/oferta/3-pokoje-59m2-nowe-budownictwo-srodmiescie-ID3WZ2U.html#3f7ebb237a;2019-03-07 15:26:01.295509;
