ID;District;Elevation;Slope;Aspect;Aspect_num;ELE;ELE_Geo;Age;Dg;HL;V;SI;geology;geology2;Geo;Geology3;TPI200;TPI500;TPI1000;TPI2000;SP200;SP500;SP1000;SP2000
136;Wisˆa;540;15;NW;300;1;10;48;24,01527826;25,07415793;433,483249;39,2;Slaska;Slaska;0;Istebnianskie dolne;-25,467;-59,314;-88,481;-106,37;1;1;1;1
137;Wisˆa;740;20;NW;337;1;10;87;44,286298;34,9118766;498,5823168;37,2;Slaska;Slaska;0;Godulskie gorne;21,25;12,098;-11,498;-11,352;6;4;4;4
138;Wêgierska Górka;1210;17;NE;50;3;30;79;22,95084669;15,45059083;335,0151464;20;Slaska;Slaska;0;Godulskie dolne;15,515;72,514;187,28;340,97;6;6;6;6
139;Wêgierska Górka;980;12;NW;303;3;31;104;38,61169771;30,49749368;798,0914188;32,2;Magurska;Magurska;1;Piaskowce hieroglifowe;-7,7845;-53,734;-63,324;2,4357;2;1;2;4
140;Wêgierska Górka;1110;9;SE;155;3;30;91;32,71668425;20,20122913;308,4290323;24,2;Slaska;Slaska;0;Istebnianskie dolne;1,7877;14,441;48,943;160,79;4;4;5;6
141;Wêgierska Górka;1010;12;NW;350;3;31;58;28,13535606;24,05441395;530,706348;33,9;Magurska;Magurska;1;Piaskowce hieroglifowe;15,16;35,624;16,706;-12,253;6;6;4;4
142;Ujsoˆy;920;16;NE;10;2;21;77;32,6864066;29,67837363;644,7636738;34,7;Magurska;Magurska;1;Warstwy Magurskie;30,28;71,152;68,473;70,02;6;6;6;5
143;Wêgierska Górka;980;21;SE;107;3;30;123;47,51114656;35,66825852;737,0496692;35,4;Slaska;Slaska;0;Godulskie gorne;-4,3224;-23,917;-14,225;39,72;4;2;4;4
144;Wêgierska Górka;805;10;NE;50;2;20;59;23,99953804;22,06321647;358,0697336;32,6;Slaska;Slaska;0;Godulskie dolne;-16,586;-49,713;-110,73;-129,85;1;1;1;1
145;Ujsoˆy;850;14;SW;240;2;21;117;44,15514693;39,39172102;998,3902041;39,8;Magurska;Magurska;1;Warstwy Magurskie;2,6409;41,527;18,977;-56,048;4;6;4;2
146;Wisˆa;620;25;NW;340;1;10;140;56,46226616;44,80313855;578,7312671;43;Slaska;Slaska;0;Godulskie gorne;9,2348;28,623;1,9575;-21,667;5;5;4;4
147;Ujsoˆy;780;18;SW;180;2;21;102;37,04782116;35,3010457;651,3985679;36,6;Magurska;Magurska;1;Warstwy ˆ¥ckie;-21,365;-44,523;-52,581;-66,987;1;1;2;2
148;Wêgierska Górka;910;15;SE;175;2;20;120;34,16905032;28,47732406;762,4669615;29,9;Slaska;Slaska;0;Godulskie dolne;11,798;20,159;-14,893;-13,142;5;5;4;4
149;Wêgierska Górka;930;15;NE;45;3;31;87;35,66215548;30,7549213;416,0488228;34;Magurska;Magurska;1;Piaskowce hieroglifowe;11,241;34,478;12,923;33,439;5;6;4;4
150;Wisˆa;860;16;NE;50;2;20;83;31,68518824;28,44403172;597,6886435;34;Slaska;Slaska;0;Godulskie gorne;15,777;30,725;63,261;85,709;6;6;6;6
151;Wisˆa;830;25;SE;150;2;20;119;46,21204325;32,22090214;471,5209165;31,7;Slaska;Slaska;0;Istebnianskie dolne;-24,857;-48,989;-56,898;7,9684;1;1;1;4
152;Wisˆa;700;14;SW;251;1;10;77;35,52404417;31,36655885;632,2789339;36;Slaska;Slaska;0;Godulskie gorne;2,4931;10,015;22,203;-5,2932;4;4;4;4
153;Wisˆa;559;20;NW;270;1;10;134;40,59265364;35,32549326;346,2161975;34,3;Slaska;Slaska;0;Istebnianskie dolne;-2,6404;-13,44;-39,433;-62,074;4;4;2;2
154;Ujsoˆy;1070;28;NW;270;3;31;116;45,05652659;32,21759194;384,6842964;31,9;Magurska;Magurska;1;Warstwy Magurskie;5,7595;42,493;90,042;172,25;4;6;6;6
155;Wisˆa;725;17;NW;310;1;10;74;32,94045132;27,73611749;453,6446648;33,1;Slaska;Slaska;0;Istebnianskie dolne;-10,381;-26,977;-40,178;-70,003;2;2;2;2
156;Ujsoˆy;830;19;NE;15;2;21;117;43,53345961;39,81219662;1109,335991;40,2;Magurska;Magurska;1;Warstwy ˆ¥ckie;-28,552;-58,546;-71,499;-61,843;1;1;1;2
157;Ujsoˆy;735;13;SW;191;1;11;58;30,00219992;29,83907362;689,8581948;39;Magurska;Magurska;1;Warstwy Magurskie;-21,257;-52,845;-87,984;-122,22;1;1;1;1
158;Wêgierska Górka;940;23;SE;110;3;30;89;36,38997739;29,16875531;637,607882;32,8;Slaska;Slaska;0;Istebnianskie dolne;-9,4517;-48,885;-65,986;-42,711;2;1;1;2
159;Ujsoˆy;1030;8;SW;185;3;31;56;33,21122426;25,73813454;608,5803531;36,2;Magurska;Magurska;1;Warstwy Magurskie;2,9064;22,227;24,444;19,099;4;5;4;4
160;Ujsoˆy;750;19;SW;180;1;11;115;46,89519378;39,21217955;772,1027324;39,3;Magurska;Magurska;1;Warstwy Magurskie;-19,687;-56,083;-82,132;-134,04;1;1;1;1
161;Jele˜nia;955;5;NW;335;3;31;41;22,17742755;19,37678732;292,7202455;35,2;Magurska;Magurska;1;Warstwy Magurskie;5,1189;4,8961;-7,7319;-31,124;5;4;4;4
162;Ujsoˆy;1035;7;SE;111;3;31;62;29,08867781;22,46773959;391,0827935;31,2;Magurska;Magurska;1;Warstwy Magurskie;5,728;22,064;22,708;41,062;4;5;4;4
163;Wêgierska Górka;905;8;NE;20;2;20;85;38,70746052;29,39915114;716,9970577;33,1;Slaska;Slaska;0;Godulskie dolne;-12,491;-38,032;-59,332;-41,174;1;1;1;2
164;Wisˆa;615;14;SW;205;1;10;84;32,97923589;30,21351222;537,5044423;34,4;Slaska;Slaska;0;Godulskie gorne;-8,8671;-34,962;-74,025;-126,55;2;1;1;1
